id,name,email,email_verified_at,password,remember_token,created_at,updated_at,location,image,deleted_at,status,zone,state,city
37fd870e-a3a1-4ae7-ac63-8320c34be291,Justin Mclaughlin,ulamb@example.org,2022-03-08 05:42:12,irvmL7L@6+,53f5c18975c3bde8127f8f6ade38e337,2020-01-05 06:52:02,2023-03-22 10:24:59,"Unit 0889 Box 5961
DPO AA 46410",https://placekitten.com/985/287,,active,east,Odisha,Cuttack
f9a00c0a-542d-4336-ab97-550ff22d7c2e,Erin Thomas,kcarpenter@example.com,2023-01-18 07:47:11,Qu#80MyZuR,852386fa6dee9d7e477fd5dbb7c1b954,2021-06-18 12:49:21,2024-01-03 06:09:21,"686 Jose Fort
Jacobberg, AR 69080",https://placekitten.com/152/623,,active,north,Punjab,Ludhiana
d4bb565e-6736-405e-884f-b0aa776fb817,Gregory Morton,rossruben@example.net,2024-01-03 02:05:15,1mYbrO0v*D,546eaf16ca026a2e02668893c78aa479,2021-09-10 15:31:07,2023-08-07 17:50:43,"6901 Barnes Summit Apt. 923
South Kathryn, TX 95956",https://picsum.photos/70/353,,active,south,Karnataka,Mysore
614068dc-0d62-48b3-b6f3-8421e31d47e7,Pamela Hansen,nicolegrant@example.org,2022-12-27 15:49:51,$3v7H@f6Xt,52cad6b23d3863500d7d4121ab901b85,2023-11-09 16:47:06,2020-08-01 17:29:51,"042 Mcbride Ridges
Port Virginiaview, MP 62556",https://placekitten.com/543/1005,,active,north,Delhi,New Delhi
74904491-c0c6-4d5b-adb0-136430dae777,Michael Cook,youngallison@example.net,2021-04-06 01:28:49,@^l5HGmaVK,1dbe51af9436ca3f5c83cf0b9173ccc3,2021-07-16 09:15:05,2021-03-03 21:13:35,"365 Lauren Ranch
North Angela, WA 48070",https://dummyimage.com/254x370,,active,south,Tamil Nadu,Coimbatore
403bc524-3af4-4b5c-b99c-78977cef5e4d,Alexander Schroeder,christophermitchell@example.net,2021-10-13 17:29:51,+77qJqc5R8,cc2c0fc7a06b40db1b8fc75f6913e13a,2024-05-17 01:18:46,2022-04-04 09:07:57,"925 Daniel Mission
Juliaton, MS 40578",https://placekitten.com/420/902,,active,south,Tamil Nadu,Chennai
d766b501-ceec-4488-a93e-386ec6b77aab,Tiffany Valenzuela,bryan37@example.net,2021-11-13 16:16:05,j$&dn5KieT,56e227e70fd5259966b1b9dfaec289cd,2024-05-16 18:07:43,2022-01-08 22:54:20,"7064 Oliver Drive
New Tylerhaven, DE 19321",https://placekitten.com/191/954,,active,north,Uttar Pradesh,Kanpur
68f918ac-1b17-4d9a-aaef-06f8a2956554,Renee Ryan,scottcurtis@example.net,2020-05-03 17:36:11,VRR!bg1qI!,99bd5895c9fe5ce64f737189e28ff44e,2023-03-30 03:13:29,2022-09-07 06:17:55,"56045 Phillip Stravenue Suite 507
South Amberfurt, CA 13932",https://picsum.photos/525/66,,active,north,Punjab,Ludhiana
ae57b05d-07bf-4c08-abc5-96bcf31c4b6e,Lori Lee,garciadonald@example.org,2021-10-24 14:00:00,$#J5BGmc3v,a3f2a3d58583d5a28332a218c2b060da,2020-07-27 15:49:08,2021-01-20 10:43:15,"48024 Moon Club Suite 056
Port Kimberly, MA 59789",https://placekitten.com/638/876,,active,south,Kerala,Kochi
6784f9bc-edb9-43b7-9bca-4d2a4f5be072,Kenneth Watson,brianna07@example.com,2021-11-30 15:29:20,%1LhKv9g*5,86d9b3ed50567c2cc7e5a49a069605ae,2020-02-29 04:44:50,2020-07-01 05:26:20,"PSC 6827, Box 3530
APO AA 93631",https://picsum.photos/634/167,,active,east,West Bengal,Durgapur
